类别,符号ID,符号名称,视觉元素,关键词/别名,代指对象,转喻类型,转喻公式,表达模式,网站使用场景,Mask设计备注
身份符号,ID-01,羽冠/头饰,放射状羽冠、头部冠饰,羽冠;头饰;冠饰;舞者头部,族群身份、仪式身份、舞者身份,服饰代身份,头饰/羽冠 → 民族身份 → 仪式人物,用头部装饰快速压缩人物身份,首页英雄区装饰、人物栏目图标、导航分组,单色剪影；冠饰外轮廓清晰；保留羽片节奏；避免写实人脸
身份符号,ID-02,人物侧脸剪影,侧脸、鼻梁、发饰、耳饰,侧脸;头像;人物轮廓;民族人物,民族人物、女性形象、身份主体,局部代整体,侧脸局部 → 人物主体 → 族群形象,用人物局部代指整体民族人物,人物介绍区、故事入口、作者/角色卡片,只保留侧脸和头饰关键线条；透明底；粗黑轮廓
身份符号,ID-03,圆形耳饰,大圆耳环、坠饰、环形纹样,耳环;耳饰;圆饰;坠饰,女性装饰、身份标记、审美风格,服饰代身份,耳饰 → 身体装饰 → 身份识别,用装饰物代指人物身份和审美系统,按钮点缀、人物标签、小型图标,圆形结构要完整；内部纹样简化；适合作为小尺寸 icon
身份符号,ID-04,项圈/颈饰,弧形项圈、珠饰、胸前装饰,项圈;颈饰;项链;胸饰,仪式装扮、身体身份、人物等级感,服饰代身份,项圈/颈饰 → 仪式服饰 → 人物身份,用身体饰物代指身份位置,人物卡片、分栏标题、身份标签,保持弧形识别；下方坠饰可做重复节奏
身份符号,ID-05,腰带/服饰边饰,横向饰带、几何边纹、吊坠,腰带;饰带;服饰边饰;几何纹,服装结构、族群纹样、装饰秩序,边饰代身份,服饰边纹 → 身体装扮 → 族群识别,用服装边缘的纹样代指身份系统,网页分割线、栏目标题下划线、装饰边框,适合做横向 mask；保留重复几何节奏
身份符号,ID-06,裙摆轮廓,半圆裙摆、扇形衣摆、条纹边缘,裙摆;衣摆;半圆轮廓;舞裙,舞者身份、女性身体、节庆服饰,服饰代身份,裙摆 → 舞者服饰 → 节庆身份,用服装形态代指舞蹈人物,舞蹈内容入口、文化活动区块,半圆轮廓要稳定；内部线条控制在少量
身份符号,ID-07,身体装饰/纹身,手臂纹样、胸前花纹、身体符号,纹身;身体装饰;图腾纹;身体纹样,身体仪式、图腾归属、身份烙印,身体符号代身份,身体纹样 → 仪式身体 → 集体身份,用身体上的装饰代指文化归属,悬浮装饰、人物详情页背景 mask,不可太碎；保持可裁切的独立纹样
身份符号,ID-08,民族舞者头部轮廓,头部剪影、发饰、羽饰、脸部简化,舞者头部;头像;羽饰头像,舞者、仪式参与者、族群人物,人物局部代整体,头部轮廓 → 舞者 → 节庆/仪式人物,用头部代指完整人物场景,网站人物系统、活动页主视觉,侧脸与羽饰合并为强轮廓；避免五官细碎
生活符号,LIFE-01,舂臼,碗状臼、圆口器皿,舂臼;石臼;臼;粮食工具,粮食加工、农耕生活、村落日常,器物代生活,舂臼 → 粮食加工 → 日常劳动 → 村落生活,用劳动工具代指整套生产生活方式,农耕栏目、地方生活介绍、劳动主题区块,臼口和底座要清楚；可与木杵分开独立使用
生活符号,LIFE-02,木杵,长木杵、舂米工具,木杵;杵;舂米杆;劳动工具,劳动动作、粮食加工、协作生活,器物代生活,木杵 → 舂米动作 → 劳动协作,用工具局部代指劳动行为,动效路径元素、劳动场景点缀,单独成图时可斜放；粗轮廓；避免过细长导致小尺寸丢失
